country,danger_index
Afghanistan,0.5924590111707589
Albania,0.5714422494026575
Algeria,0.0016257184200021268
Andorra,0.36956303868510726
Angola,1.076575401176472
Antigua and Barbuda,0.0
Argentina,0.41194013583645106
Armenia,0.7641993346734811
Australia,1.919045144688281
Austria,11.488805528900437
Azerbaijan,3.047750571468505
Bahamas,0.0
Bahrain,0.0
Bangladesh,0.38477374371612644
Barbados,1.7620227240605595
Belarus,0.0
Belgium,2.2173300441996346
Belize,0.2122031623206143
Benin,0.00029956120275021153
Bhutan,0.02044846029484124
Bolivia,0.4434991905834196
Bosnia and Herzegovina,3.2895010492605663
Botswana,0.37733950976414943
Brazil,1.114286671914648
Brunei Darussalam,4.440568496781032
Bulgaria,1.1962836345531351
Burkina Faso,0.00019846728566701898
Burundi,0.006555684996930854
Cambodia,0.0008647505147054702
Cameroon,0.1742208161096872
Canada,1.666108304345192
Republic of Cabo Verde,0.013487336234234568
Central African Republic,0.0
Chad,0.0008463427976086866
Chile,2.613368289256216
China,0.7310778704880043
Colombia,1.7541214026782435
Comoros,0.03286430983754275
Costa Rica,2.9377523545948097
Croatia,3.389004187393838
Cuba,0.010613447451974373
Cyprus,4.131413196832003
Czech Republic,1.9214096002074923
Denmark,2.096714257143105
Djibouti,0.0
Dominica,0.0
Dominican Republic,0.026716963428306498
Democratic Republic of the Congo,0.21855280069933375
Ecuador,0.26527224235736474
Egypt,2.733064834987887
El Salvador,0.0
Equatorial Guinea,0.005074905606755714
Eritrea,0.0
Estonia,1.702364263378612
Kingdom of eSwatini,0.8685303303779434
Ethiopia,0.0027395056589595563
Fiji,0.041946038035376644
Finland,1.6285259242588006
France,1.6331883860004732
Gabon,0.0
The Gambia,0.0009238756064319481
Georgia,1.9875440279489587
Germany,3.2245515325981775
Ghana,0.002300164267575421
Greece,5.00937436677328
Grenada,0.0
Guatemala,0.6863474006113109
Guinea,0.0004689977683643111
Guinea-Bissau,0.0016622608837718693
Guyana,1.2943432604108778
Haiti,0.002546397081190188
Honduras,0.28373716013568195
Hungary,0.5983861654757926
Iceland,0.9233339022326803
India,0.27035333304699666
Indonesia,0.7271125503247472
Iran,1.119455973458043
Iraq,0.0
Ireland,1.357306737306321
Israel,1.4722746974373984
Italy,1.8337028037819252
Côte d'Ivoire,0.17472935074683515
Jamaica,1.8632704053965952
Japan,3.7524031194829
Jordan,0.0
Kazakhstan,0.17609529804110974
Kenya,0.0011660731138577664
Kiribati,0.02286027798098025
Kuwait,0.14711142730177262
Kyrgyzstan,0.011160338930444394
Lao PDR,0.003718718768572842
Latvia,2.360336492893091
Lebanon,1.0545640354581114
Lesotho,0.0
Liberia,0.002451590054163168
Libya,0.0030826407544777925
Liechtenstein,1.2078215983929617
Lithuania,2.6293092763421892
Luxembourg,3.0057635056901812
Madagascar,1.756310878816285
Malawi,0.0037000160301356748
Malaysia,0.27162690818555346
Mali,0.0063513589473828645
Malta,1.0080206845431767
Marshall Islands,0.7818326156510861
Mauritania,0.0002111424516890235
Mexico,0.7356676314999732
Moldova,2.5732891564716764
Monaco,2.4200296308113907
Mongolia,0.005296663161060346
Montenegro,2.425249068066191
Morocco,0.003964443242267447
Mozambique,0.6389017743691061
Myanmar,0.0013566065242696169
Namibia,0.06525096103952767
Nauru,23.523839595832015
Nepal,0.0011784894253489147
Netherlands,0.6366141589274524
New Zealand,4.901490001398538
Nicaragua,0.007411786784625853
Niger,5.7234482463106556e-05
Nigeria,0.0004072458424912551
Dem. Rep. Korea,0.0
North Macedonia,1.9269531095667065
Norway,2.0695517545165516
Oman,0.0
Pakistan,0.17386902574645519
Palau,0.2215452783162559
Panama,0.5833622169950252
Papua New Guinea,0.0035000821779857844
Paraguay,1.7564335957639357
Peru,5.64269411999118
Philippines,4.51108247972237
Poland,1.249662508919007
Portugal,1.8930841223216521
Qatar,0.6515205600368073
Republic of the Congo,0.003349845840094439
Romania,1.0557469580490437
Russian Federation,1.9053041081105793
Rwanda,0.003302678188924516
Saint Kitts and Nevis,0.052458190821914934
Saint Lucia,0.3391583313410098
Saint Vincent and the Grenadines,0.019240389425481973
Samoa,0.06745150236979612
San Marino,3.4907902554961376
São Tomé and Principe,0.00219896208989357
Saudi Arabia,0.9445196717177863
Senegal,0.0008084798447995891
Serbia,2.634509918397792
Sierra Leone,0.0
Singapore,1.5511182057834672
Slovakia,1.8266318343101964
Slovenia,3.268191878479947
Solomon Islands,0.0
Somalia,0.0001704786546233726
South Africa,0.10491889113554748
Republic of Korea,4.756404180667846
South Sudan,0.0
Spain,1.252699490322351
Sri Lanka,2.5437241000613064
Sudan,9.91109393001615
Suriname,1.0327680187507684
Sweden,3.060774510142571
Switzerland,0.6023842337823432
Syria,0.0
Tajikistan,0.0
Tanzania,0.002007702615973911
Thailand,2.2440538870806277
Timor-Leste,0.0014910951795875035
Togo,0.0029947905336140373
Tonga,0.15441052611877445
Trinidad and Tobago,1.5334372082837517
Tunisia,2.0806060973417657
Turkey,0.0
Turkmenistan,0.0
Tuvalu,0.0
Uganda,0.001671972357005887
Ukraine,1.0463884890452793
United Arab Emirates,0.25767410814536335
United Kingdom,2.237682350179056
United States,2.738584856295846
Uruguay,0.4838031828713235
Uzbekistan,0.012461139438504234
Vanuatu,0.0
Venezuela,0.6534277246322205
Vietnam,0.002912813503265651
Yemen,0.0
Zambia,0.31571278380877466
Zimbabwe,0.4176454774154423
